Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,Paxten Aaronson,us USA,FWMF,Philadelphia,18-309,2003,2.1,0,2,0,0.0,0.95,0.00,0.00,,18.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1
2,Lalas Abubakar,gh GHA,DF,Colorado Rapids,27-188,1994,14.0,1,8,1,12.5,0.57,0.07,0.13,1.00,9.2,0,0,0,1.1,1.1,0.14,-0.1,-0.1
3,Nicolás Acevedo,uy URU,MFDF,NYCFC,23-078,1999,11.5,0,11,1,9.1,0.96,0.09,0.00,0.00,28.2,0,0,0,0.3,0.3,0.03,-0.3,-0.3
4,Ifunanyachi Achara,us USA,FWMF,Toronto FC,24-276,1997,2.6,0,5,4,80.0,1.89,1.51,0.00,0.00,15.7,0,0,0,0.3,0.3,0.07,-0.3,-0.3
5,Bryan Acosta,hn HON,MF,Colorado Rapids,28-219,1993,7.6,0,5,0,0.0,0.65,0.00,0.00,,19.6,1,0,0,0.4,0.4,0.09,-0.4,-0.4
6,George Acosta,us USA,MF,Inter Miami,22-163,2000,0.1,0,1,1,100.0,12.86,12.86,0.00,0.00,22.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1
7,Kellyn Acosta,us USA,MFDF,Los Angeles FC,26-342,1995,14.2,1,18,4,22.2,1.26,0.28,0.06,0.25,22.7,4,0,0,0.8,0.8,0.04,+0.2,+0.2
8,Luciano Acosta,ar ARG,MF,FC Cincinnati,28-031,1994,15.1,6,31,11,35.5,2.06,0.73,0.13,0.36,21.6,1,2,3,6.1,3.8,0.12,-0.1,+0.2
9,Mo Adams,eng ENG,MF,Inter Miami,25-281,1996,3.9,0,1,0,0.0,0.25,0.00,0.00,,24.4,0,0,0,0.0,0.0,0.02,0.0,0.0
10,Samuel Adeniran,us USA,FWMF,Seattle,23-274,1998,0.8,0,1,0,0.0,1.23,0.00,0.00,,8.1,0,0,0,0.0,0.0,0.05,0.0,0.0
11,Harrison Afful,gh GHA,DFMF,Charlotte FC,35-342,1986,3.8,0,4,1,25.0,1.04,0.26,0.00,0.00,29.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1
12,Oskar Ågren,se SWE,DF,San Jose,23-294,1998,1.0,0,1,0,0.0,1.00,0.00,0.00,,6.0,0,0,0,0.0,0.0,0.05,0.0,0.0
13,Daniel Aguirre,us USA,MFFW,LA Galaxy,22-364,1999,1.4,0,3,1,33.3,2.16,0.72,0.00,0.00,19.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2
14,Ali Ahmed,ca CAN,DF,Vancouver,21-264,2000,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
15,Arnaud Ake,ci CIV,FW,Nashville,24-091,1998,3.0,1,3,1,33.3,1.00,0.33,0.33,1.00,10.8,0,0,0,0.7,0.7,0.24,+0.3,+0.3
16,Tesho Akindele,ca CAN,FW,Orlando City,30-092,1992,2.6,0,3,0,0.0,1.16,0.00,0.00,,9.9,0,0,0,0.2,0.2,0.08,-0.2,-0.2
17,Ayo Akinola,ca CAN,FW,Toronto FC,22-162,2000,5.1,1,11,3,27.3,2.15,0.59,0.09,0.33,15.6,0,0,0,1.2,1.2,0.11,-0.2,-0.2
18,Jordy Alcivar,ec ECU,MF,Charlotte FC,22-330,1999,9.7,1,15,7,46.7,1.55,0.72,0.07,0.14,26.1,3,0,0,0.8,0.8,0.05,+0.2,+0.2
19,Caio Alexandre,br BRA,MF,Vancouver,23-127,1999,0.7,0,1,0,0.0,1.48,0.00,0.00,,25.0,0,0,0,0.1,0.1,0.08,-0.1,-0.1
20,Tony Alfaro,us USA,DF,D.C. United,29-016,1993,3.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
21,Noah Allen,us USA,DFMF,Inter Miami,18-064,2004,3.5,0,2,0,0.0,0.57,0.00,0.00,,22.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1
22,Thiago Almada,ar ARG,FWMF,Atlanta Utd,21-066,2001,9.9,3,29,12,41.4,2.94,1.22,0.10,0.25,21.9,6,0,0,2.4,2.4,0.08,+0.6,+0.6
23,Osvaldo Alonso,cu CUB,MF,Atlanta Utd,36-232,1985,3.7,0,1,0,0.0,0.27,0.00,0.00,,23.6,0,0,0,0.0,0.0,0.03,0.0,0.0
24,Jozy Altidore,us USA,FW,New England,32-237,1989,5.5,1,14,2,14.3,2.56,0.37,0.07,0.50,14.7,0,0,0,1.6,1.6,0.11,-0.6,-0.6
25,Efrain Alvarez,mx MEX,FWMF,LA Galaxy,20-012,2002,10.0,2,29,11,37.9,2.91,1.10,0.07,0.18,20.9,2,0,0,2.5,2.5,0.09,-0.5,-0.5
26,Luis Amarilla,py PAR,FW,Minnesota Utd,26-310,1995,10.7,3,30,11,36.7,2.80,1.03,0.10,0.27,16.6,0,0,0,3.3,3.3,0.11,-0.3,-0.3
27,Frankie Amaya,us USA,MF,NY Red Bulls,21-278,2000,15.2,0,10,5,50.0,0.66,0.33,0.00,0.00,24.1,0,0,0,0.3,0.3,0.03,-0.3,-0.3
28,Mikey Ambrose,us USA,DF,Atlanta Utd,28-269,1993,0.5,0,1,0,0.0,1.96,0.00,0.00,,20.6,0,0,0,0.0,0.0,0.02,0.0,0.0
29,Malte Amundsen,dk DEN,DF,NYCFC,24-140,1998,10.6,0,9,0,0.0,0.85,0.00,0.00,,19.0,0,0,0,0.4,0.4,0.04,-0.4,-0.4
30,Max Anchor,ca CAN,GK,Vancouver,17-345,2004,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
31,Sebastian Anderson,us USA,DF,Colorado Rapids,19-327,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
32,José Andrés Martínez,ve VEN,MF,Philadelphia,27-328,1994,15.6,0,16,2,12.5,1.02,0.13,0.00,0.00,29.5,1,0,0,0.4,0.4,0.02,-0.4,-0.4
33,Jalil Anibaba,us USA,DF,Columbus Crew,33-255,1988,0.9,0,1,0,0.0,1.06,0.00,0.00,,7.2,0,0,0,0.0,0.0,0.04,0.0,0.0
34,Themi Antonoglou,ca CAN,DF,Toronto FC,21-029,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
35,Brian Anunga,cm CMR,MF,Nashville,25-325,1996,5.7,0,4,0,0.0,0.70,0.00,0.00,,24.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2
36,Cristian Arango,co COL,FW,Los Angeles FC,27-114,1995,11.8,6,44,19,43.2,3.73,1.61,0.11,0.26,18.1,3,1,1,6.5,5.8,0.13,-0.5,-0.8
37,César Araujo,uy URU,MF,Orlando City,21-090,2001,14.4,0,9,1,11.1,0.62,0.07,0.00,0.00,24.1,0,0,0,0.6,0.6,0.06,-0.6,-0.6
38,Julian Araujo,mx MEX,DF,LA Galaxy,20-322,2001,13.9,0,6,0,0.0,0.43,0.00,0.00,,12.9,0,0,0,1.2,1.2,0.19,-1.2,-1.2
39,Luiz Araújo,br BRA,FW,Atlanta Utd,26-029,1996,7.5,4,36,7,19.4,4.81,0.93,0.11,0.57,20.1,2,0,0,2.9,2.9,0.08,+1.1,+1.1
40,Daniel Armando Ríos,mx MEX,FW,Charlotte FC,27-129,1995,10.5,1,23,7,30.4,2.20,0.67,0.04,0.14,13.2,0,0,0,2.6,2.6,0.11,-1.6,-1.6
41,Adam Armour,us USA,MF,Charlotte FC,19-277,2002,0.9,1,3,2,66.7,3.18,2.12,0.33,0.50,17.4,0,0,0,0.3,0.3,0.10,+0.7,+0.7
42,Xavier Arreaga,ec ECU,DF,Seattle,27-276,1994,12.1,1,6,3,50.0,0.50,0.25,0.17,0.33,12.5,0,0,0,0.6,0.6,0.10,+0.4,+0.4
43,Kervin Arriaga,hn HON,MF,Minnesota Utd,24-177,1998,13.0,1,13,3,23.1,1.00,0.23,0.08,0.33,19.1,1,0,0,0.7,0.7,0.06,+0.3,+0.3
44,Paul Arriola,us USA,FW,FC Dallas,27-146,1995,14.9,8,36,14,38.9,2.42,0.94,0.22,0.57,17.5,2,0,0,4.5,4.5,0.13,+3.5,+3.5
45,Artur,br BRA,MF,Columbus Crew,26-112,1996,12.0,0,20,3,15.0,1.66,0.25,0.00,0.00,20.0,0,0,0,1.0,1.0,0.05,-1.0,-1.0
